"Restaurant";"Category";"Product";"ImagePath";"ProductId"
"Bebek Little China & Sushi, Bebek";"Çorbalar / Soups";"02. Won Ton Çorbası";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/wonton-corba.jpg";"LTCH010101"
"Bebek Little China & Sushi, Bebek";"Çorbalar / Soups";"03. Acılı & Ekşi Çorba";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/acili-eksili-corba.jpg";"LTCH010106"
"Bebek Little China & Sushi, Bebek";"Başlangıçlar / Starters";"03. Çıtır Çin Mantısı";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/citir-cin-mantisi.jpg";"LTCH010204"
"Bebek Little China & Sushi, Bebek";"Tatlılar / Desserts";"01. Kızarmış Dondurma";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/kizarmis-dondurma.jpg";"LTCH011001"
"Bebek Little China & Sushi, Bebek";"Dana Etleri / Beef";"04. Acılı Mantarlı Dana Eti";"/ProductImages/TR_ISTANBUL/bebek_little_china_sushi/mantarli-dana.jpg";"LTCH010302"
"Bebek Little China & Sushi, Bebek";"Dana Etleri / Beef";"08. Biberli Dana Eti (Acı)";"/ProductImages/TR_ISTANBUL/bebek_little_china_sushi/bebek_little_china_sushi-26_yesil_biberli_dana_eti_(aci).jpg";"LTCH010304"
"Bebek Little China & Sushi, Bebek";"Tavuklar / Chicken";"02. Tatlı ve Ekşi Soslu Tavuk";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/TATLI-EKsi-SOSLU-TAVUK.jpg";"LTCH010402"
"Bebek Little China & Sushi, Bebek";"Deniz Mahsulleri / Sea Food";"05. Karışık Sebzeli Kalamar";"/productimages/TR_ISTANBUL/bebek_little_china_sushi/karisik-sebzeler.jpg";"LTCH010508"
"Bebek Little China & Sushi, Bebek";"Pilavlar / Rice";"02. Sebzeli Pilav";"/ProductImages/TR_ISTANBUL/bebek_little_china_sushi/bebek_little_china_sushi-61_yumurtali_pilav.jpg";"LTCH010801"
"China Express, Nişantaşı";"Çorbalar / Soup";"03. Acılı Ekşili Çorba";"/ProductImages/TR_ISTANBUL/china_express/china_express-03_acili_eksili_corba.jpg";"CHEX010103"
"China Express, Nişantaşı";"Aperatifler / Appetizers";"06. Çin Böreği";"/ProductImages/TR_ISTANBUL/china_express/china_express-06_cin_boregi.jpg";"CHEX010202"
"China Express, Nişantaşı";"Aperatifler / Appetizers";"08. Çıtır Çin Mantısı";"/ProductImages/TR_ISTANBUL/china_express/china_express-08_citir_cin_mantisi.jpg";"CHEX010204"
"China Express, Nişantaşı";"Tavuk Yemekleri / Chicken Dishes";"19. Acı Soslu Tavuk";"/ProductImages/TR_ISTANBUL/china_express/china_express-19_aci_soslu_tavuk.jpg";"CHEX010406"
"China Express, Nişantaşı";"Dana Yemekleri / Beef Dishes";"31. Karışık Sebzeli Dana Eti";"/ProductImages/TR_ISTANBUL/china_express/china_express-31_karisik_sebzeli_dana_eti.jpg";"CHEX010507"
"China Express, Nişantaşı";"Erişteler / Noodles";"62. Sebzeli Erişte";"/ProductImages/TR_ISTANBUL/china_express/china_express-62_sebzeli_eriste.jpg";"CHEX010902"
"China Express, Nişantaşı";"Tatlılar / Desserts";"69. Kızartılmış Dondurma";"/ProductImages/TR_ISTANBUL/china_express/china_express-69_kizartilmis_dondurma.jpg";"CHEX011003"
"Şeker Mantı, Taksim";"Tatlılar";"Kaymaklı Ekmek Kadayıfı";"/ProductImages/TR_ISTANBUL/seker_manti/seker_manti-kaymakli_ekmek_kadayifi.jpg";"SKER010202"
"Şeker Mantı, Taksim";"Salatalar";"Mevsim Salata";"/ProductImages/TR_ISTANBUL/seker_manti/seker_manti-mevsim_salata.jpg";"SKER010302"
"Şirvan Kebap, Maslak";"Çorba / Soup";"Ezogelin Çorbası";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-ezogelin_corbasi.jpg";"SRVN020102"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Adana Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-adana_kebap.jpg";"SRVN020203"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Urfa Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-urfa_kebap.jpg";"SRVN020204"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Oruk Kebabı";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-oruk_kebabi.jpg";"SRVN020205"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Beyti Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-beyti_kebap.jpg";"SRVN020206"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Fıstıklı Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-fistikli_kebap.jpg";"SRVN020207"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Domatesli Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-domatesli_kebap.jpg";"SRVN020209"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Patlıcanlı Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-patlicanli_kebap.jpg";"SRVN020210"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Yoğurtlu Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-yogurtlu_kebap.jpg";"SRVN020211"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Ezmeli Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-ezmeli_kebap.jpg";"SRVN020212"
"Şirvan Kebap, Maslak";"Izgaralar";"Karışık Izgara";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-karisik_izgara.jpg";"SRVN020213"
"Şirvan Kebap, Maslak";"Izgaralar";"Biftek";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-biftek.jpg";"SRVN020215"
"Şirvan Kebap, Maslak";"Izgaralar";"Kiremit Şiş";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-kiremit_sis.jpg";"SRVN020216"
"Şirvan Kebap, Maslak";"Kebaplar / Kebabs";"Alinazik Kebap";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-alinazik.jpg";"SRVN020217"
"Şirvan Kebap, Maslak";"Et Dönerler";"Et Döner";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-doner.jpg";"SRVN020219"
"Şirvan Kebap, Maslak";"Et Dönerler";"İskender";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-iskender.jpg";"SRVN020220"
"Şirvan Kebap, Maslak";"Dürümler & Ekmek Arası Ürünler";"Et Döner Dürüm";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-doner_durum.jpg";"SRVN020230"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Lahmacun";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-lahmacun.jpg";"SRVN020401"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Kıymalı Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-kiymali_pide.jpg";"SRVN020402"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Karışık Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-karisik_pide.jpg";"SRVN020404"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Pastırmalı Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-pastirmali_pide.jpg";"SRVN020406"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Kavurmalı Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-kavurmali_pide.jpg";"SRVN020407"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Kuşbaşılı Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-kusbasili_pide.jpg";"SRVN020408"
"Şirvan Kebap, Maslak";"Fırından / Oven Dish";"Kaşarlı Pide";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-kasarli_pide.jpg";"SRVN020409"
"Şirvan Kebap, Maslak";"Tavuk Ürünleri / Chicken Dishes";"Tavuk Pirzola";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-tavuk_pirzola.jpg";"SRVN020505"
"Şirvan Kebap, Maslak";"Tavuk Ürünleri / Chicken Dishes";"Tavuk Bonfile";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-tavuk_bonfile.jpg";"SRVN020506"
"Şirvan Kebap, Maslak";"Tavuk Ürünleri / Chicken Dishes";"Adana Tavuk";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-adana_tavuk.jpg";"SRVN020507"
"Şirvan Kebap, Maslak";"Tavuk Ürünleri / Chicken Dishes";"Urfa Tavuk";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-urfa_tavuk.jpg";"SRVN020509"
"Şirvan Kebap, Maslak";"Tavuk Ürünleri / Chicken Dishes";"Tavuk Beyti";"/ProductImages/TR_ISTANBUL/sirvan_kebap_maslak/sirvan_kebap_maslak-tavuk_beyti.jpg";"SRVN020511"
