"Restaurant";"Category";"Product";"ImagePath";"ProductId"
"McDonald's, Alanya (Merkez)";"İçecekler";"Ayran";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/mcdonalds/ayran3.jpg";"3dae9864-2047-4dc9-84ac-ee0546f59feb"
"Burger King, Işıklar (Fevzi Çakmak Cad.)";"Fırsat Menüleri";"Big Royale Kampanyası";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_king_guncel/bigroyalekampanyacocacola.jpg";"3d963289-9aed-40b6-a8fc-9e62204ab463"
"Popeyes, Öğretmenevi";"Soslar";"Mayonez";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/popeyes_guncel/mayonezyeni.jpg";"3e2bcca2-66e6-41c9-a285-de249a73684c"
"Lezzet Ustası BYDNR, Şirinyalı";"Köfteler";"Piliç Köfte (160 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/lezzet_ustasi_bydnr/lezzet_ustasi_bydnr-pilic_kofte.jpg";"3e3549e8-6451-4b21-99f0-fcc2c7e6f490"
"Tosthanem, Alanya (Şekerhane Mah.)";"Sebzeli Tostlar";"Sebzeli Sucuklu Yumurtalı Tost";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/tosthanem_alanya/tosthanemalanyasekerhanemah._sebzelisucukluyumurtalitost_20180629190613.jpg";"3d8210cf-13a9-4ab7-af2a-2980f03d484e"
"Komagene Etsiz Çiğ Köfte, Altınkum";"Soğuk Mezeler";"Barbunya Pilaki (250 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/barbunya-pilaki.jpg";"3d70babc-a190-4dfd-b684-fdc1169fb36c"
"Otantik Kumpir, Işıklar";"Promosyon Menüler";"Sütaş Menüsü (Karışık Pizza)";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/otantik_kumpir/otantik_kumpir-karisik_pizza_2.jpg";"3ec1dc1f-121f-4fec-9fb5-465bdf6f6e15"
"Popeyes, Kepez (Özdilek)";"Yan Ürünler";"Biscuit";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/popeyes_guncel/Biscuit_400x400px.jpg";"3edb1110-3f9c-45ec-a61a-f3cfd56fddd3"
"Burger King, Işıklar (Fevzi Çakmak Cad.)";"Yan Ürünler";"Patates Kızartması (King)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_king_guncel/normalpatates.jpg";"3d6d0803-b868-480f-9e5a-41ba79489656"
"Fratelli Di Pizza, Muratpaşa (Meydankavağı Mah.)";"Büyük Boy Pizzalar (3 - 4 Kişilik)";"Turkish Pizza (Büyük)";"https://cdn.yemeksepeti.com/productimages/TR_ANTALYA/fratelli-di-pizza-fener/fratellidipizzauncali_turkishpizzabuyuk_20190206150237.jpg";"3d4fa719-7210-4f2d-a1e1-588cb0871850"
"Popeyes, Öğretmenevi";"Vodafone Menüleri";"Vodafone Menüsü 1";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/popeyes_guncel/Vodafone1Menu_400x400px.jpg";"3f01432f-0087-4ad1-be53-84872a15c706"
"Komagene Etsiz Çiğ Köfte, Kültür";"İçecekler";"Soda (20 cl.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/soda.jpg";"3d39f741-e302-4f33-841c-34df4dabd23b"
"Domino's Pizza, Alanya (Mahmutlar)";"Ekstra Lezzetler";"Tavuk Parçaları Menü (Orta Boy)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/dominos_pizza/tavukparcalari-son.jpg";"3f0df707-6d58-4df1-8f2a-12558a1ca18e"
"Papa John's Pizza, Alanya (Şekerhane Mah.)";"Küçük Boy Pizzalar (1 Kişilik)";"Küçük İtalya Pizza (Küçük)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/papa_johns/kucuk_italya_yeni.jpg";"3d39ca1c-1753-40b5-bd9c-938fe3f8827a"
"Usta Dönerci, Kepez (Özdilek Park)";"Çıtır Lezzetler";"Patates Kızartması (Orta Boy)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/usta_donerci/patatess.jpg";"3f39fa0c-4ecb-4eab-b9cf-70f87256b96a"
"Domino's Pizza, Aspendos Bulv.";"Büyük Boy Pizzalar (3-4 Kişilik)";"Fit & Fresh (Büyük)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/fit-fresh-son.jpg";"3f3b2659-85c6-4ca1-a2d9-3381e149535b"
"Domino's Pizza, Kumluca (Merkez)";"Paketos Pizzalar (Gizli)";"Paketos Bol Malzemos Pizza (Orta)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/bol-malzemos-pizza-son.jpg";"3f58193d-882f-477e-ac18-e65722353d7f"
"Domino's Pizza, Alanya (Mahmutlar)";"Paketos Pizzalar (Gizli)";"Paketos Bol Malzemos Pizza (Orta)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/bol-malzemos-pizza-son.jpg";"3d3809cd-5321-442d-85f8-95e69c357c57"
"Popeyes, Öğretmenevi";"Sandviçler";"Tavukburger™ (Acılı)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/popeyes_2016/Tavukburger-acili.jpg";"3f80e44f-ede3-4f7b-b6f6-44c67a8e6817"
"Burger House Handmade, Fener";"Burgerler";"Bacon Cheeseburger (140 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_house/burger_house-baccon_cheese_burger_yan.jpg";"3f17590e-ed24-42bc-9736-18c71ec94e4f"
"Pizza Pizza, Balbey (Kale Kapısı)";"Fırsatlar";"Tek Küçük Boy Pizza";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/pizza_pizza/tekkucukboypizza.jpg";"3de5c89f-e481-418c-b6df-43d627fe8660"
"Domino's Pizza, Güzeloba";"Büyük Boy Pizzalar (3-4 Kişilik)";"Konyalım (Büyük)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/konyalim-son.jpg";"3f873aee-504d-4455-9b48-16b5fb6693fc"
"Mantı & Ötesi, Gebizli";"Mantılar";"Kıymalı Ahıska Mantı";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/manti_ve_otesi/mantiotesigebizli_kiymaliahiskamanti_20180127120127.jpg";"3f880132-37b9-42a8-b9ce-b3dbc570f659"
"Burger King, Işıklar (Fevzi Çakmak Cad.)";"İçecekler";"Fuse Tea Şeftali (33 cl.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_king_guncel/fuceteaseftali33cl.jpg";"3f8e795d-a622-4336-9eab-67a0228f4819"
"Tostar, Meltem";"Menüler";"Çapata Tost Menü";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/tostar/capatatostmenu.jpg";"3f8f034f-0f9a-4588-a678-d857c547937d"
"Konyalılar Restaurant, Dokuma";"Pideler (1,5 Porsiyon)";"Kuşbaşılı Kaşarlı Pide (1,5 Porsiyon)";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/konyalilar_resturant/Kusbasili_Kasarli_Pide.jpg";"3f9406a7-a53f-455c-9695-50df4e88a18a"
"Göçmen Lokantası, Kepez (Yeni Sanayi Mah.)";"Yan Ürünler";"Komposto";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/ynsvrfood/ynsvrfoodanddrinksafak_komposto.jpg";"3f011b38-2dd6-4147-8808-0a73373af986"
"Meşhur Adıyaman Çiğ Köftecisi Ömer Aybak, Bahçelievler";"Çiğ Köfteler";"Çiğ Köfte (Tam Porsiyon)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/meshur_adiyaman_cig_koftecisi/tam-porsiyon-500g-cigkofte.jpg";"3f99115c-bf5e-4aa2-bf0e-9e04ac34d93e"
"Pizza Time, Gürsu";"Menüler";"Combo Menü";"https://cdn.yemeksepeti.com/ProductImages/TR_ANKARA/pizza_time/combo_menu.jpg";"3f9aa8ff-3b78-45b0-ab78-60af74004e27"
"Burger King, Fener";"İçecekler";"Coca-Cola (1 L.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_king_guncel/ccoriginal1litre.jpg";"3fac968b-8174-4142-bd5a-a7fa8ce18be3"
"Pizza Tomato, Kışla";"Medium Pizzalar (2 Kişilik)";"Nefis Kenarlı Spicy (Medium)";"https://cdn.yemeksepeti.com/productimages/TR_IZMIR/pizza_tomato/spicy_pizza.jpg";"3d413bf2-bb26-4089-972a-b0ece132a850"
"Pasaport Pizza, Kızılarık";"Tatlılar";"Sufle";"https://cdn.yemeksepeti.com/ProductImages/TR_IZMIR/pasaport_pizza/sufle-2017.jpg";"3d085a03-3755-483f-918e-bc2b22add8de"
"Ayvalık Tost, Konyaaltı (Pınarbaşı Mah.)";"Ayvalık Tostları";"Süper Beyaz Peynirli Sucuklu Ayvalık Tostu";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/ayvalik_tost/07032016_super-beyaz-peynirli-sucuklu.jpg";"3fbfc199-220c-4e36-af32-4a3bcd7b9d8c"
"Domino's Pizza, Konyaaltı Caddesi";"Orta Boy Pizzalar (2 Kişilik)";"Karışık Pizza (Orta)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/karisik-pizza-son.jpg";"3df97d6e-be93-4f29-b959-c2620a39469e"
"KFC, Fabrikalar (Özdilek)";"Soslar";"Promosyon Sos Tabağı";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/kfc_guncel/sos-tabagi-2.jpg";"3fcf1520-b6a9-4f58-946c-266d092a8ad8"
"Vili Pizza, Kepez (Kültür Mah.)";"Orta Boy Ekonomik Pizzalar (2 - 3 Kişilik)";"Ispanaklı Pizza (Orta)";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/vili_pizza/vilipizzamuratpasaisiklarmah._ispanaklipizzaorta_20180813140827.jpg";"3fd5253a-8e4b-4370-ae7e-530dce6402e2"
